,category,token
694,a,afásico
695,a,afastador
696,v,afastar
697,adj,afável
698,nc,afazeres
699,v,afazer
700,nc,afeção
701,adj,afetante
702,v,afetar
703,a,afetivo
704,adj,afeto
705,nc,afeto
706,adj,afetuoso
707,a,afegão
708,nc,afeição
709,v,afeiçoar
710,adj,afeito
711,nc,afélio
712,v,afeminar
713,adj,aferente
714,v,aferir
715,v,aferrar
716,v,aferroar
717,v,aferrolhar
718,nc,afiadeira
719,a,afiador
720,v,afiambrar
721,v,afiançar
722,v,afiar
723,nc,afia-lápis
724,adj,aficionado
725,v,afidalgar
726,v,afifar
727,v,afigurar
728,adj,afigurativo
729,v,afilar
730,nc,afilhado
731,v,afilhar
732,nc,afiliação
733,v,afiliar
734,nc,afim
735,a,afinador
736,nc,afinagem
737,adv,afinal
738,v,afinar
739,v,afincar
740,nc,afinco
741,v,afinfar
742,nc,afinidade
743,nc,afirmação
744,v,afirmar
745,nc,afirmativa
746,adj,afirmativo
747,v,afivelar
748,v,afixar
749,nc,afixo
750,v,aflautar
751,v,afleumar
752,nc,aflição
753,v,afligir
754,adj,aflitivo
755,adj,aflito
756,v,aflorar
757,nc,afluência
758,adj,afluente
759,v,afluir
760,nc,afluxo
761,v,afocinhar
762,v,afofar
763,nc,afogadela
764,adj,afogadiço
765,v,afogar
766,nc,afogo
767,v,afoguear
768,v,afoitar
769,nc,afoiteza
770,adj,afoito
771,v,afolar
772,v,afolhar
773,nc,afonia
774,adj,afónico
775,adj,afono
776,adj,afonsino
777,adv,afora
778,prep,afora
779,v,aforar
780,nc,aforismo
781,adj,aforístico
782,v,aformosear
783,v,aforquilhar
784,v,aforrar
785,nc,aforro
786,v,afortalezar
787,v,afortunar
788,v,afracar
789,v,afrancesar
790,v,afranzinar
791,v,afrechar
792,v,afreguesar
793,v,afretar
794,v,africanar
795,nc,africanas
796,nc,africânder
797,v,africanizar
798,a,africano
799,adj,afro
800,pref,afro
801,adj,afrodisíaco
802,nc,afrodisia
803,a,afrodita
804,nc,afroixamento
805,v,afronhar
806,adj,afrontadiço
807,a,afrontador
808,nc,afronta
809,v,afrontar
810,adj,afrontoso
811,v,afrouxar
812,nc,afta
813,v,afugentar
814,nc,afumadura
815,v,afumar
816,v,afundar
817,v,afunilar
818,adj,afuselado
819,v,agachar
820,v,agaiatar
821,adj,agargalado
822,v,agarotar
823,adj,agarra
824,v,agarrar
825,v,agasalhar
826,nc,agasalho
827,v,agastar
828,nc,ágata
829,adj,agemado
830,nc,agência
831,v,agenciar
832,nc,agenda
833,v,agendar
834,nc,agente
835,v,agigantar
836,adj,ágil
837,nc,agilidade
838,v,agilizar
839,nc,agiotagem
840,nc,agiota
841,v,agiotar
842,v,agir
843,nc,agitabilidade
844,adj,agitadiço
845,a,agitador
846,adj,agitante
847,v,agitar
848,nc,aglomerada
849,nc,aglomerado
850,v,aglomerar
851,nc,aglutinação
852,adj,aglutinante
853,v,aglutinar
854,adj,aglutinativo
855,nc,agnosticismo
856,a,agnóstico
857,v,agoirar
858,a,agoireiro
859,adj,agoirento
860,nc,agoiro
861,nc,agonia
862,adj,agoniante
863,v,agoniar
864,nc,agonística
865,a,agonizante
866,v,agonizar
867,adv,agora
868,nc,agorafobia
869,adv,agorinha
870,adj,agosteiro
871,adj,agostiniano
872,v,agourar
873,a,agoureiro
874,v,agourentar
875,adj,agourento
876,nc,agouro
877,v,agraciar
878,v,agradar
879,adj,agradável
880,v,agradecer
881,nc,agrado
882,nc,agrafador
883,v,agrafar
884,nc,agrafia
885,nc,agrafo
886,adj,agrário
887,a,agravante
888,v,agravar
889,adj,agravativo
890,adj,agravatório
891,nc,agravo
892,adj,agre
893,v,agredir
894,a,agregado
895,v,agregar
896,adj,agregativo
897,nc,agrela
898,nc,agremiação
899,nc,agressão
900,adj,agressivo
901,a,agressor
902,adj,agreste
903,nc,agrial
904,nc,agrião
905,v,agricultar
906,nc,agricultura
907,adj,agridoce
908,v,agrilhoar
909,nc,agrimensão
910,v,agrimensar
911,nc,agrimensor
912,nc,agrimensura
913,v,agrisalhar
914,nc,agrografia
915,a,agro
916,adj,agroalimentar
917,nc,agrologia
918,nc,agromania
919,nc,agronomia
920,a,agrónomo
921,nc,agropecuária
922,adj,agropecuário
923,nc,agror
924,adj,agrosseirado
925,v,agrupar
926,nc,agrura
927,nc,água-ardente
928,nc,aguaçal
929,nc,aguaça
930,nc,aguaceiro
931,nc,água-chilra
932,nc,aguada
933,a,aguadeiro
934,nc,aguadilha
935,nc,água-forte
936,nc,água-furtada
937,nc,água
938,nc,água-marinha
939,nc,água-oxigenada
940,nc,água-pé
941,nc,aguapé
942,v,aguardar
943,nc,aguardenteiro
944,nc,aguardente
945,adj,aguardentoso
946,nc,aguarela
947,v,aguarelar
948,nc,aguarelista
949,nc,aguarrás
950,v,aguar
951,nc,águas-furtadas
952,nc,água-tinta
953,nc,aguçadeira
954,nc,aguçador
955,nc,aguçadura
956,nc,aguça
957,v,aguçar
958,nc,aguço
959,nc,agudeza
960,nc,agudez
961,v,agudizar
962,adj,agudo
963,v,aguentar
964,adj,aguerrido
965,v,aguerrilhar
966,v,aguerrir
967,nc,águia
968,nc,aguilhão
969,v,aguilhar
970,nc,aguilhoada
971,nc,aguilhoadela
972,v,aguilhoar
973,v,aguisar
974,v,aguitarrar
975,nc,agulhada
976,nc,agulhagem
977,nc,agulha
978,v,agulhar
979,adj,agulheado
980,a,agulheiro
981,nc,agulheta
982,in,ah
983,adv,aí
984,in,ai
985,in,ai-jesus
986,adv,ainda
987,nc,ai
988,nc,aio
989,nc,aipo
990,adj,airoso
991,v,ajanotar
992,adj,ajantarado
993,v,ajardinar
994,adj,ajaulado
995,v,ajeitar
996,v,ajoelhar
997,v,ajornalar
998,v,ajoujar
999,nc,ajoujo
1000,nc,ajudada
1001,nc,ajuda
1002,a,ajudante
1003,v,ajudar
1004,v,ajuizar
1005,adj,ajumentado
1006,a,ajuntador
1007,nc,ajuntadouro
1008,nc,ajunta
1009,v,ajuntar
1010,v,ajuramentar
1011,nc,ajustador
1012,v,ajustar
1013,nc,ajuste
1014,v,ajustiçar
1015,nc,alabastro
1016,v,alacaiar
1017,nc,alacridade
1018,adj,alagadiço
1019,adj,alagartado
1020,v,alagar
1021,nc,alambique
1022,nc,alameda
1023,nc,álamo
1024,nc,ala
1025,nc,alanina
1026,v,alapar
1027,v,alaranjar
1028,adj,alar
1029,v,alardear
1030,nc,alarde
1031,nc,alardo
1032,v,alargar
1033,nc,alarido
1034,nc,alarma
1035,adj,alarmante
1036,v,alarmar
1037,nc,alarme
1038,adj,alarvado
1039,a,alarve
1040,v,alar
1041,a,alastradeira
1042,v,alastrar
1043,nc,alaúde
1044,nc,alavanca
1045,nc,alavancagem
1046,v,alavancar
1047,a,albanês
1048,nc,alba
1049,a,albano
1050,nc,albarda
1051,v,albardar
1052,nc,albardeiro
1053,nc,albatroz
1054,nc,albedo
1055,nc,albergaria
1056,v,albergar
1057,nc,albergueiro
1058,nc,albergue
1059,adj,albicastrense
1060,nc,albinismo
1061,a,albino
1062,nc,albufeira
1063,v,albufeirar
1064,nc,albugínea
1065,nc,albúmen
1066,nc,albumina
1067,v,albuminar
1068,adj,albuminoso
1069,nc,álbum
1070,nc,alcácer
1071,nc,alcachofra
1072,nc,alcáçova
1073,nc,alçada
1074,nc,alçadeira
1075,nc,alçadura
1076,nc,alcaide-mor
1077,nc,alcaide
1078,v,alcaiotar
1079,v,alcalinizar
1080,adj,alcalino
1081,adj,alcalinoterroso
1082,nc,alcaloide
1083,v,alcançar
1084,nc,alcance
1085,nc,alcanço
1086,nc,alça
1087,adj,alcantilado
1088,nc,alcantil
1089,nc,alçapão
1090,v,alçar
1091,nc,alcateia
1092,v,alcatifar
1093,nc,alcatra
1094,nc,alcatrão
1095,nc,alcatraz
1096,v,alcatroar
1097,nc,alce
1098,a,alcobacense
1099,nc,alcofa
1100,v,alcofar
1101,nc,alcoolemia
1102,adj,alcoólico
1103,v,alcoolificar
1104,nc,alcoolismo
1105,v,alcoolizar
1106,nc,álcool
1107,nc,alcoolometria
1108,nc,alcoolómetro
1109,adj,alcorânico
1110,nc,alcova
1111,a,alcoviteiro
1112,nc,alcunha
1113,v,alcunhar
1114,nc,alcunho
1115,nc,aldeamento
1116,nc,aldeão
1117,nc,aldeia
1118,nc,aldeído
1119,nc,aldeola
1120,nc,aldeota
1121,nc,aldrabada
1122,a,aldrabão
1123,v,aldrabar
1124,a,aldrabeiro
1125,nc,aldrabice
1126,adj,aleatório
1127,nc,aleatoriedade
1128,v,aleatorizar
1129,nc,alecrim
1130,a,alegado
1131,a,alegante
1132,v,alegar
1133,nc,alegoria
1134,adj,alegórico
1135,v,alegorizar
1136,nc,alegrão
1137,v,alegrar
1138,adj,alegre
1139,nc,alegria
1140,nc,alegro
1141,adj,alegrote
1142,v,aleijar
1143,v,aleitar
1144,nc,aleluia
1145,adj,alemânico
1146,a,alemão
1147,adv,além
1148,adv,além-fronteiras
1149,nc,além-mar
1150,nc,além-mundo
1151,nc,além
1152,v,alentar
1153,adj,alentejano
1154,nc,alento
1155,nc,alergia
1156,adj,alérgico
1157,adv,alerta
1158,nc,alerta
1159,v,alertar
1160,v,alesmar
1161,nc,aletria
1162,v,alevantar
1163,nc,alevante
1164,adj,alexandrino
1165,adj,alexíaco
1166,nc,alexia
1167,adj,aléxico
1168,a,alfabetário
1169,v,alfabetar
1170,adj,alfabético
1171,nc,alfabetismo
1172,v,alfabetizar
1173,nc,alfabeto
1174,nc,alface
1175,nc,alfacinha
1176,nc,alfaia
1177,v,alfaiar
1178,nc,alfaiataria
1179,v,alfaiatar
1180,nc,alfaiate
1181,nc,alfama
1182,a,alfamense
1183,nc,alfândega
1184,adj,alfandegário
1185,v,alfandegar
1186,nc,alfa
1187,adj,alfanumérico
1188,nc,alfarrábio
1189,nc,alfarrabista
1190,nc,alfarrobal
1191,nc,alfarroba
1192,v,alfarrobar
1193,nc,alfarrobeira
1194,nc,alfazema
1195,v,alfazemar
1196,nc,alfena
1197,nc,alferes
1198,nc,alfinetada
1199,v,alfinetar
1200,nc,alfineteira
1201,nc,alfinete
1202,nc,alfobre
1203,nc,alforge
1204,nc,alforjada
1205,v,alforjar
1206,v,alforrar
1207,nc,alforreca
1208,nc,algália
1209,v,algaliar
1210,nc,alga
1211,nc,algarismo
1212,nc,algaraviada
